unit_number,time_in_cycles,op_setting_1,op_setting_2,op_setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
1,11,2.725165565663852e-05,0.00036934782478194783,100.0,519.2287,642.9122,1589.2733,1400.4419,14.6394,21.6522,555.4642,2387.8938,9044.7992,1.3006,47.4514,521.105,2388.6163,8144.3983,8.4166,0.03,391.6131,2389.7884,100.0601,38.7964,23.3432
1,12,0.002139744767645885,0.0001958132970292513,100.0,517.6942,641.1302,1590.736,1399.4961,14.614,21.5734,554.9845,2381.2834,9043.3833,1.3007,47.5136,522.0374,2383.6516,8133.5843,8.4006,0.0299,390.965,2389.7143,100.1769,38.8167,23.3368
1,13,0.0018049202528174044,0.00010957988590035896,100.0,518.5809,642.34,1591.4626,1400.8305,14.5818,21.6693,554.6234,2384.4986,9023.1741,1.2983,47.445,521.1285,2386.3175,8126.1742,8.417,0.03,392.3169,2390.4315,99.7744,38.8225,23.3418
1,14,0.0012367423517257847,0.00028663186708478795,100.0,519.5131,641.2143,1588.6598,1401.2078,14.6138,21.6207,555.5157,2387.3251,9046.9183,1.2997,47.323,520.9979,2387.2225,8132.8816,8.4199,0.03,391.585,2391.7804,99.9195,38.8669,23.2957
1,15,-0.0010410408670981641,0.00012042900234960732,100.0,517.3748,643.0679,1592.9136,1402.486,14.613,21.6325,552.6703,2391.7244,9069.1277,1.3013,47.4336,522.3115,2388.2152,8125.8827,8.3928,0.03,392.0124,2378.7551,100.4364,38.824,23.3553
1,16,0.0010368327977914552,0.0003267036532356428,100.0,520.394,641.7717,1588.8777,1401.8467,14.6415,21.617,554.1629,2383.0409,9045.2167,1.298,47.4701,522.6083,2389.3947,8142.8739,8.3904,0.03,391.6845,2381.0289,100.1984,38.8351,23.3114
1,17,0.0017078551931169758,0.0003258480530109132,100.0,518.0827,643.7048,1589.5928,1398.9094,14.6224,21.5894,554.2143,2393.4508,9018.3741,1.3001,47.4688,521.4131,2386.3502,8146.9265,8.4024,0.0299,391.1123,2386.8899,100.1358,38.8823,23.2345
1,18,0.0018304327126594223,0.00021075610741992136,100.0,518.2593,641.8085,1591.0969,1401.2123,14.5978,21.5747,554.3919,2394.6955,9058.2772,1.3012,47.394,521.0224,2390.3879,8148.3834,8.3998,0.03,391.507,2385.9221,100.1508,38.8335,23.2775
1,19,-0.001227558157982863,0.00018530046035023575,100.0,518.429,643.6919,1587.6665,1398.5879,14.6337,21.6171,554.2951,2388.6368,9037.7627,1.3001,47.5243,520.7823,2391.1982,8151.6613,8.4034,0.0301,393.1094,2381.8989,100.153,38.8938,23.2722
1,20,0.0017724273486907315,0.00015294784372462864,100.0,519.367,641.3643,1587.3402,1404.5663,14.6209,21.6352,555.1216,2387.5877,9038.3667,1.301,47.5974,521.7841,2389.5549,8136.3963,8.4144,0.03,392.2179,2391.5546,100.2163,38.9052,23.3263
1,21,0.003974720128048875,0.00019457706975899093,100.0,518.5377,640.5454,1590.4927,1402.0321,14.6447,21.6067,556.24,2391.2644,9029.7044,1.3008,47.4697,522.7128,2388.221,8128.5533,8.4141,0.03,390.9751,2385.004,100.0239,38.8186,23.3558
1,22,-0.0009725351509983424,0.00012324599712285064,100.0,517.896,642.4651,1593.0065,1400.6483,14.6158,21.6507,556.2283,2389.4912,9017.8327,1.2976,47.5091,521.9573,2380.3913,8144.9585,8.4181,0.0299,392.964,2388.6364,100.0846,38.8184,23.37
1,23,0.004537861234936893,0.00022026984546264444,100.0,519.8628,641.245,1589.8827,1398.6758,14.6168,21.581,554.0749,2390.5055,9022.1381,1.2976,47.4426,522.158,2394.3745,8134.2277,8.4095,0.03,391.6532,2388.5592,99.9312,38.8968,23.3033
1,24,0.001934303364957512,0.00030904357439053964,100.0,519.2584,641.595,1590.7912,1402.1095,14.616,21.6587,554.1864,2386.2353,9035.7845,1.3006,47.5226,521.5103,2391.7925,8162.5486,8.3999,0.03,392.8422,2386.0697,99.8164,38.8855,23.3249
1,25,1.9477425404885096e-05,0.0002547021902134063,100.0,518.9526,642.1563,1591.1427,1400.0427,14.6327,21.5291,553.9334,2388.3244,9028.6299,1.2995,47.4271,521.699,2383.3713,8122.6111,8.3959,0.03,391.3305,2387.7025,100.2806,38.8999,23.2538
1,26,0.002890957421044007,0.0002664319260344252,100.0,518.5804,641.2272,1593.5478,1398.5617,14.6127,21.6645,554.5652,2390.6675,9044.051,1.2997,47.4792,522.7097,2388.17,8146.7491,8.3939,0.03,392.2158,2388.4874,100.181,38.9383,23.3473
1,27,0.0012566789263031063,0.00022507981521900172,100.0,518.8627,643.2151,1587.3464,1397.2191,14.645,21.5615,552.5892,2393.3978,9035.858,1.2967,47.5481,521.6135,2386.8575,8136.2131,8.4096,0.03,391.6697,2388.752,99.9992,38.7097,23.2591
1,28,-0.0005375041538641676,0.00017706133507994147,100.0,518.9954,644.0602,1586.7584,1401.1579,14.6314,21.6426,554.1226,2389.1999,9047.3092,1.3012,47.51,519.343,2387.0092,8141.8966,8.3893,0.0301,391.7635,2391.9966,99.8359,38.843,23.3119
1,29,0.00021123495730489088,0.0001181795664395111,100.0,519.0201,642.5436,1588.9108,1402.7948,14.6302,21.598,553.0694,2391.6057,9044.9605,1.2982,47.3484,522.9162,2388.6634,8128.6443,8.4067,0.0299,392.5739,2388.6688,100.1244,38.7484,23.3215
1,30,0.0004322734363335245,0.00025402159647504416,100.0,518.7375,641.9805,1587.6539,1399.5341,14.5901,21.6046,555.9236,2391.1729,9057.0328,1.3007,47.5161,521.6243,2384.3671,8127.8366,8.4237,0.03,391.9701,2390.95,99.9385,38.8768,23.2733
1,31,0.00048605333878964864,0.00014435500567029045,100.0,519.1674,642.8281,1590.9064,1400.4824,14.6308,21.589,553.9478,2390.5432,9042.4131,1.2983,47.4697,522.761,2387.107,8138.8167,8.4196,0.0301,392.2292,2386.6877,100.1292,38.8125,23.3832
1,32,-0.0001848984323296306,0.00028066517150517517,100.0,517.9885,643.5606,1583.9697,1399.0482,14.5802,21.5733,554.6972,2394.3953,9033.1412,1.2995,47.5499,521.4531,2388.5517,8113.9297,8.4169,0.0299,391.891,2387.8525,99.8185,38.9068,23.3234
1,33,0.0012850464901122218,0.00023573718132953854,100.0,517.9193,640.6133,1593.0767,1401.9822,14.6649,21.6047,553.6094,2386.3927,9036.3073,1.2998,47.3758,520.5171,2387.4348,8143.491,8.4065,0.03,392.0388,2386.3564,100.0318,38.8661,23.3676
1,34,-0.00105016443659698,0.0002802364696964973,100.0,517.3881,640.1744,1585.8394,1401.5765,14.6328,21.6447,552.7292,2384.765,9029.3225,1.298,47.4155,520.9885,2390.4016,8135.1351,8.4058,0.03,392.2688,2389.8534,100.144,38.8696,23.3414
1,35,0.003744900190057481,0.00020895002950001445,100.0,517.886,640.8061,1587.2639,1400.7115,14.6591,21.5952,555.8549,2388.3597,9029.1638,1.2984,47.4441,521.6826,2386.706,8138.7645,8.43,0.03,391.9123,2380.6855,100.0401,38.8643,23.3441
1,36,0.0009987949986949181,6.97294353780609e-05,100.0,518.6082,642.5632,1586.6437,1399.3905,14.5954,21.6688,553.432,2385.9027,9046.8648,1.2991,47.4762,521.4665,2388.6033,8148.4878,8.4143,0.03,391.9785,2388.0697,99.9155,38.8182,23.2866
1,37,0.001762794666766142,0.00029449536270449223,100.0,519.1434,643.0065,1589.9183,1399.5206,14.6474,21.616,552.5647,2387.3922,9037.816,1.2997,47.3498,521.969,2386.307,8153.5614,8.3866,0.0301,391.7801,2389.6531,99.8689,38.8729,23.2636
1,38,0.0017314896872265809,0.00011667295152686862,100.0,517.4501,642.6032,1591.0292,1400.1053,14.6356,21.6625,555.1739,2384.1693,9015.5618,1.2988,47.3836,522.5735,2386.3299,8125.3456,8.4234,0.03,391.7329,2395.1557,100.0636,38.7686,23.2575
1,39,-0.00025617890950945465,0.00030705120052790377,100.0,519.9561,642.2461,1588.3485,1402.0839,14.6501,21.5555,553.9874,2390.3865,9056.7107,1.2992,47.4963,522.7853,2379.487,8146.5648,8.4293,0.03,391.5736,2384.0591,99.9926,38.8861,23.2779
1,40,0.0019486042237376062,0.00034285720352668163,100.0,519.639,644.2846,1590.7961,1400.9933,14.6446,21.5741,553.4067,2386.0438,9028.0723,1.3015,47.4823,521.2526,2380.8692,8126.0527,8.4285,0.0301,393.0383,2388.9387,99.8203,38.8104,23.3364
1,41,0.004490389047103396,0.0002796111098253573,100.0,518.6684,642.4377,1586.7627,1397.6165,14.6051,21.6057,553.429,2394.1957,9032.7809,1.2996,47.4084,520.7556,2385.1853,8158.6676,8.4173,0.03,391.8596,2392.3795,100.0414,38.8333,23.3252
1,42,-0.000447527257447729,0.00015843744197228986,100.0,519.7124,644.1748,1587.2013,1400.1967,14.6244,21.6053,555.148,2384.1528,9048.8539,1.3017,47.5986,520.6498,2387.5907,8142.3481,8.4074,0.03,391.1766,2391.3242,100.0867,38.9219,23.2784
1,43,0.0001800744401614905,0.00037391556338619094,100.0,519.3803,643.0579,1591.1946,1396.5244,14.6453,21.5546,553.74,2389.2073,9046.5947,1.2991,47.4683,521.5784,2389.9808,8144.4622,8.4121,0.03,392.1603,2389.0875,100.0681,38.8416,23.3057
1,44,0.0025337575494206416,0.00013712219319763475,100.0,517.7955,642.8446,1590.8798,1402.9103,14.6218,21.6173,554.0908,2382.8193,9041.394,1.3016,47.4854,522.4423,2390.3002,8136.8434,8.4396,0.0301,391.7632,2387.7456,100.2275,38.9653,23.373
1,45,-0.0008293727859139707,0.0002477508575625943,100.0,519.9513,642.339,1593.6908,1400.657,14.6325,21.5967,553.9674,2385.7596,9044.7477,1.2985,47.5747,521.4438,2389.2646,8135.9587,8.4262,0.03,392.4544,2389.0044,100.2159,38.8465,23.2486
1,46,0.0016585991617691072,0.00023155912962965174,100.0,518.5066,642.0095,1589.7329,1400.8519,14.6416,21.6031,554.9959,2381.6342,9048.0929,1.2971,47.5256,523.6339,2384.0519,8156.8221,8.4008,0.03,392.5093,2385.107,100.0158,38.7895,23.3487
1,47,0.0005395354685873647,0.00015302206879373945,100.0,518.3692,641.4372,1589.2562,1396.3932,14.6613,21.6337,554.3319,2382.3507,9051.6077,1.3006,47.3993,521.6908,2387.1052,8105.1924,8.412,0.03,391.3033,2386.5356,100.0088,38.8031,23.3167
1,48,0.0022314210601232995,0.0001973547922229176,100.0,518.5284,641.3855,1588.9665,1399.2302,14.6613,21.6286,555.541,2393.1437,9027.0258,1.3035,47.4635,522.0748,2385.8074,8137.997,8.3946,0.03,391.9796,2388.9427,99.8962,38.8498,23.3058
1,49,0.0004414889641538935,6.799053650746926e-05,100.0,518.7362,643.419,1588.7165,1404.6572,14.6244,21.642,554.7784,2385.7668,9049.8062,1.2993,47.4903,522.2474,2385.3931,8153.0899,8.4051,0.03,392.0406,2384.4009,99.8323,38.7776,23.3867
1,50,0.002174829657027191,0.0002516812990961695,100.0,519.0918,642.8939,1592.5388,1401.2239,14.6238,21.5709,553.6952,2389.498,9025.8932,1.3016,47.4675,521.3899,2393.8721,8127.8067,8.4108,0.03,392.9961,2385.2861,99.9966,38.8176,23.3284
1,51,0.002246465004382733,5.594160040793162e-05,100.0,518.3527,642.5334,1590.9562,1399.874,14.6205,21.6367,555.0968,2380.0612,9042.4008,1.2991,47.4844,522.1623,2385.2467,8135.0594,8.4116,0.03,391.5704,2387.8618,99.8233,38.8497,23.3126
1,52,-0.0008232513025636897,0.00030291546379560143,100.0,519.1472,641.4163,1590.3263,1401.1474,14.5802,21.5955,554.5369,2382.6396,9037.0307,1.3011,47.4987,520.6322,2391.9648,8145.2022,8.4176,0.0301,391.8832,2391.5194,99.7731,38.8855,23.3927
1,53,0.002148932103197633,0.00016297102823810368,100.0,517.4431,641.8592,1590.6915,1396.4719,14.6248,21.5937,553.6057,2389.2286,9036.3149,1.2988,47.4327,520.8242,2389.1595,8116.6158,8.4123,0.03,392.58,2389.524,100.1864,38.7772,23.2985
1,54,-0.00019708910699090475,1.6551019666990026e-05,100.0,519.0428,643.0642,1589.5703,1403.0432,14.6152,21.5963,554.7505,2389.3167,9056.8624,1.2987,47.3658,520.9492,2384.3424,8143.0259,8.4195,0.03,391.5228,2386.6198,99.8944,38.8725,23.3169
1,55,0.0015121401274681033,0.00011923799455342555,100.0,517.8603,642.0562,1587.1341,1403.9072,14.6302,21.5702,555.2312,2387.1488,9045.0551,1.3019,47.5007,521.2699,2389.5649,8119.8704,8.3931,0.03,391.9515,2384.5509,100.015,38.8755,23.2741
1,56,0.0024736526898452077,0.00031137370506109955,100.0,519.1056,641.1706,1590.1735,1402.718,14.6054,21.5845,553.4334,2384.9196,9035.9444,1.3011,47.5456,520.6147,2389.9533,8147.1143,8.4185,0.03,391.2909,2384.2359,100.1489,38.9095,23.2507
1,57,-0.0002947374505957237,0.0002857127178183558,100.0,518.6585,643.0896,1589.9369,1401.9699,14.5956,21.5859,553.7536,2389.3789,9052.9396,1.3005,47.4404,521.6756,2387.2661,8139.1784,8.4146,0.03,391.9457,2383.3184,99.8646,38.8316,23.2571
1,58,0.002532358127839479,0.00022568637950198242,100.0,520.0603,643.1882,1590.4278,1402.0053,14.6485,21.5961,554.5452,2387.8808,9046.4133,1.3005,47.4925,522.3949,2394.2986,8135.0947,8.3982,0.03,392.5346,2387.687,99.7965,38.8772,23.2982
1,59,0.00035014143586995796,0.0001781815281540736,100.0,518.0328,642.033,1591.2285,1404.8233,14.6571,21.5585,554.2993,2391.1525,9057.1321,1.2993,47.4297,522.7801,2392.2875,8130.5354,8.4162,0.03,391.9704,2390.944,100.0627,38.7853,23.2584
1,60,0.0025111492491007134,0.00014478805522713872,100.0,519.174,642.574,1595.253,1399.9281,14.6327,21.6348,554.2228,2388.8758,9039.0008,1.2994,47.465,522.0687,2391.6257,8123.6152,8.4216,0.03,392.5492,2384.7516,99.8414,38.8438,23.2828
1,61,0.0005090103604014964,0.0001873203021747232,100.0,519.9334,643.1563,1590.5757,1397.2727,14.6601,21.5454,553.884,2390.494,9076.0689,1.3012,47.4414,520.8778,2394.2451,8132.9909,8.4339,0.03,392.1365,2390.3306,100.1763,38.8894,23.247
1,62,0.0026484668428250003,-3.279282588242142e-05,100.0,518.8025,641.4082,1588.1626,1399.1424,14.6095,21.6153,553.8328,2389.8241,9037.406,1.2945,47.3616,521.0056,2385.4376,8126.9621,8.4025,0.03,391.9594,2392.1469,99.9514,38.783,23.3114
1,63,0.0009700256177912074,0.0002909162088722997,100.0,518.3175,643.3771,1586.4538,1399.793,14.6225,21.6888,554.9736,2382.8856,9052.6622,1.3032,47.4331,521.9414,2396.1808,8161.5446,8.4017,0.03,392.9026,2392.3525,99.8238,38.8896,23.3674
1,64,0.00504205256754715,0.000110509382729663,100.0,518.1691,643.9986,1587.2657,1400.464,14.6175,21.5886,553.6879,2384.7298,9040.494,1.2991,47.4198,520.4568,2394.2473,8145.4657,8.4142,0.03,391.4432,2388.1776,100.231,38.9358,23.3024
1,65,0.002332583642027469,0.00019634740347526525,100.0,519.1146,642.4762,1584.0317,1404.2015,14.6349,21.5874,554.1071,2387.844,9056.6348,1.3024,47.5518,522.3257,2384.1338,8147.9021,8.416,0.03,391.9486,2391.3565,100.121,38.8513,23.2434
1,66,-0.0015705912995515724,5.266778994571889e-05,100.0,518.6459,642.7289,1591.458,1403.7226,14.6306,21.5593,555.5048,2395.895,9059.2688,1.3014,47.5899,521.2613,2391.6237,8142.2443,8.4083,0.0299,391.2972,2389.8229,100.1408,38.8379,23.3327
1,67,0.0005669524500012931,0.00018085504764235293,100.0,518.1406,642.2342,1591.1527,1402.1152,14.6327,21.5946,553.9332,2387.9249,9034.9136,1.2989,47.4887,521.2525,2387.4625,8127.2515,8.4163,0.03,392.2429,2386.0162,100.176,38.8687,23.3211
1,68,0.002176916793537643,0.00041400010149050175,100.0,517.1363,642.539,1588.8166,1398.7651,14.5844,21.6796,554.3472,2393.1857,9055.439,1.2982,47.4902,522.0199,2389.5845,8147.9295,8.3923,0.03,392.3893,2387.5308,100.2038,38.8972,23.3138
1,69,0.0028583138790472633,0.00021353759126223335,100.0,519.4574,643.1882,1585.519,1404.4981,14.6412,21.6359,553.9521,2391.837,9014.2165,1.2997,47.4584,522.3155,2383.7588,8139.4144,8.41,0.03,391.5028,2388.7646,99.8378,38.8343,23.2434
1,70,-0.0007333622934564332,0.00013034792769411684,100.0,519.2494,641.5797,1587.3601,1399.8505,14.6396,21.6649,554.5138,2383.3041,9025.0631,1.2995,47.3301,521.8162,2390.2001,8115.2057,8.4043,0.03,392.5141,2390.008,99.8517,38.943,23.2749
1,71,0.0015232837167972746,0.00020562338334917778,100.0,519.117,642.5995,1593.1087,1399.6102,14.5965,21.668,554.86,2383.8193,9017.0324,1.3016,47.4274,523.458,2390.374,8141.669,8.4228,0.0301,391.2747,2384.164,99.9192,38.8889,23.2685
1,72,0.0010530540454766967,5.4233031575315e-06,100.0,518.8375,642.6813,1587.6967,1400.5438,14.6357,21.5803,554.7855,2393.1734,9062.8213,1.2979,47.4742,521.3254,2387.714,8149.9472,8.37,0.03,391.66,2390.594,100.3128,38.8818,23.3491
1,73,0.0018952865255624954,0.000320603240116446,100.0,518.6247,642.5768,1593.5303,1403.5027,14.6583,21.6036,553.8029,2389.1527,9022.7269,1.2957,47.5072,522.2688,2387.2333,8117.3231,8.4326,0.0299,392.6337,2388.298,99.9848,38.9276,23.32
1,74,0.003916372206264911,-1.800336656369842e-05,100.0,518.6081,642.5902,1589.6496,1403.9169,14.6456,21.6165,553.402,2390.3628,9044.0253,1.2975,47.3791,522.3209,2384.977,8152.6218,8.4139,0.03,391.7821,2393.3218,99.6137,38.862,23.3193
1,75,0.003829195579232813,0.0001021906546815162,100.0,519.0607,642.9001,1587.4726,1398.3779,14.6108,21.6393,554.3972,2387.3201,9049.017,1.3014,47.5555,521.206,2387.5436,8146.1228,8.4287,0.0301,393.6144,2384.1128,100.1173,38.7471,23.3033
1,76,0.002166039034515479,0.000282447041106298,100.0,518.0519,641.9205,1589.2759,1401.5434,14.5935,21.6513,553.0552,2386.0586,9050.2219,1.3003,47.3759,522.3426,2395.1024,8176.4479,8.4017,0.03,392.5881,2383.0871,99.9908,38.9533,23.2813
1,77,-0.0006989530322500752,0.0002476871359205035,100.0,518.5888,641.422,1589.8945,1399.8073,14.5745,21.5667,553.5516,2391.3102,9038.4986,1.3019,47.4639,521.1452,2388.0629,8149.1144,8.4063,0.03,391.4313,2385.6588,99.8316,38.9043,23.3204
1,78,0.0009184105195769903,0.00011189338014238238,100.0,519.5945,643.0058,1592.0968,1403.3195,14.5993,21.6107,554.0673,2394.1086,9037.9105,1.3005,47.4811,520.5487,2383.6861,8130.442,8.3991,0.03,391.2869,2389.8559,100.168,38.8135,23.3059
1,79,0.0038189743503669053,0.00024998399578783756,100.0,519.5582,641.7119,1590.598,1400.8065,14.6138,21.5737,553.9331,2389.1395,9054.4921,1.3005,47.4242,522.2613,2386.8303,8152.9183,8.4188,0.03,392.0422,2388.8062,100.0579,38.8683,23.2816
1,80,0.002303547967455921,0.00023960133910170582,100.0,518.6803,641.5789,1587.5329,1401.2093,14.619,21.581,554.6198,2388.8261,9058.2543,1.2983,47.5189,521.1064,2393.5657,8149.9074,8.407,0.03,391.5257,2393.8046,100.2857,38.7064,23.3497
1,81,-0.0002495761266571772,0.0002636699812644869,100.0,518.6636,641.6856,1589.5474,1401.8212,14.6309,21.6276,552.8209,2393.5488,9054.5259,1.3001,47.4583,523.1542,2385.9229,8145.6572,8.3962,0.03,390.897,2385.0822,100.1123,38.8794,23.3351
1,82,0.0023362928862836457,0.0001034551851753151,100.0,519.1328,643.5281,1591.7741,1401.1304,14.5995,21.6229,553.5633,2390.6286,9027.9658,1.2984,47.4384,522.5806,2382.9531,8124.5553,8.4069,0.03,393.519,2385.9785,100.0923,38.8009,23.2318
1,83,0.0009599015351402501,3.5817679247812076e-05,100.0,519.2961,643.022,1588.5552,1404.1568,14.5955,21.6006,553.0631,2387.5313,9039.6265,1.3001,47.3567,522.7681,2392.2167,8141.2284,8.4003,0.03,391.5695,2391.1953,99.7046,38.8532,23.3001
1,84,0.0016905091758243963,0.00015389400905806939,100.0,517.4801,640.7477,1590.2924,1399.9281,14.6339,21.6257,555.558,2392.5831,9045.6943,1.2968,47.3975,522.5134,2386.4984,8124.8589,8.4018,0.03,392.6771,2389.4109,99.8034,38.9274,23.2759
1,85,0.0018140339532607182,0.0001928301765296884,100.0,519.0573,641.1464,1589.3821,1400.216,14.6291,21.6324,552.7863,2386.317,9049.6104,1.2973,47.408,521.9888,2389.8812,8139.4985,8.4111,0.03,391.9496,2388.1978,100.0526,38.8324,23.3182
1,86,0.003153933239122153,-9.395366216690667e-06,100.0,519.2793,640.6071,1586.9803,1404.0566,14.6083,21.6165,554.6761,2390.2948,9023.9961,1.2998,47.4232,522.0085,2388.5352,8154.289,8.4032,0.03,391.574,2389.784,100.154,38.8279,23.2429
1,87,0.0013639422270777862,-6.100699364646963e-07,100.0,518.8348,641.9099,1590.4235,1402.6909,14.5994,21.5534,554.3868,2394.8231,9028.7149,1.2973,47.441,520.9705,2388.68,8139.478,8.3941,0.0301,391.3699,2387.5434,100.0041,38.8803,23.2883
1,88,0.0001651402010715684,0.00018743256502136814,100.0,519.7766,642.2142,1592.0532,1398.6108,14.6281,21.6171,554.543,2395.9448,9053.3302,1.2994,47.3717,522.3241,2391.5053,8132.1643,8.3852,0.03,392.0058,2389.139,99.8143,38.8561,23.3092
1,89,0.0017696320024030905,0.00010729176740540115,100.0,519.7567,641.4902,1590.4334,1399.347,14.6085,21.5761,554.6142,2389.6841,9044.6387,1.3015,47.512,521.5321,2392.0844,8137.4006,8.4211,0.03,391.8517,2392.5527,99.8554,38.8146,23.2393
1,90,-0.0002337977620974598,0.00010013475366259465,100.0,518.036,642.1833,1588.5669,1402.6024,14.6682,21.587,555.0835,2388.7316,9035.0789,1.2996,47.4196,521.1807,2395.1882,8145.9788,8.3956,0.03,392.1995,2383.7061,99.9375,38.8365,23.3385
1,91,0.0014346385534602791,0.00039981749385972363,100.0,516.7336,641.0656,1589.2996,1400.7782,14.5995,21.577,554.8211,2389.2372,9055.1758,1.3026,47.4608,520.9735,2388.8245,8150.4747,8.4156,0.0299,391.8346,2386.0654,99.9048,38.751,23.3144
1,92,0.0027259667110454545,0.0002244142822493491,100.0,517.9613,643.4714,1588.1907,1400.4857,14.6365,21.6117,554.0422,2388.0232,9042.6282,1.2992,47.5515,521.4979,2386.0307,8135.6906,8.4238,0.03,392.1849,2390.3036,99.9412,38.8031,23.2765
1,93,0.0006497026208018633,0.00020487370239610694,100.0,519.5926,642.3953,1592.2101,1401.7123,14.61,21.6366,553.8419,2388.6243,9046.9487,1.3001,47.458,522.6827,2390.5041,8150.0657,8.3977,0.03,391.911,2390.6024,100.3659,38.8406,23.3021
1,94,-0.0014194578819844033,0.00032959199339869464,100.0,517.6495,641.1529,1591.505,1398.2489,14.6379,21.5796,554.039,2392.9194,9046.0491,1.2981,47.5431,520.8287,2392.0142,8154.5322,8.4118,0.03,392.0829,2383.8334,100.1453,38.778,23.2853
1,95,0.0021486041216810824,0.00012187566509666589,100.0,519.6402,641.9734,1589.9248,1398.7644,14.642,21.6331,553.9531,2387.5481,9060.556,1.3008,47.514,522.203,2389.5979,8140.6319,8.4141,0.0299,391.663,2377.6907,100.1071,38.7917,23.3321
1,96,-0.0017124720514875799,0.0001293816162917007,100.0,518.3082,643.3472,1590.9493,1403.7389,14.6395,21.5648,555.8838,2393.7365,9054.1988,1.2998,47.4244,519.5793,2382.9245,8108.3151,8.4157,0.0301,392.4175,2387.9485,99.9473,38.8949,23.2813
1,97,0.002413691759954195,0.0001954159459938369,100.0,519.0818,641.3446,1591.7126,1402.4959,14.6201,21.6352,553.601,2387.7818,9048.885,1.3029,47.4853,521.9277,2388.2833,8115.4117,8.4162,0.03,392.3454,2388.5766,100.1081,38.7335,23.2356
1,98,-0.0005801908852485899,0.00015240013669970886,100.0,518.6405,644.5389,1590.647,1398.2915,14.6111,21.6268,554.2824,2385.7592,9042.2732,1.3008,47.5009,522.9112,2390.35,8139.9535,8.4287,0.0301,392.3986,2387.9268,99.8999,38.8199,23.2758
1,99,0.0019169229868700932,7.816981135682067e-05,100.0,518.1797,641.9978,1590.1366,1398.095,14.6305,21.5959,554.4807,2381.7024,9031.0211,1.3025,47.4955,523.0449,2383.6779,8138.9987,8.3995,0.03,390.3523,2391.0038,100.0934,38.8785,23.2975
1,100,0.001495336818920866,0.00013196140045120507,100.0,517.8908,640.4297,1594.2826,1398.8915,14.612,21.5847,554.8872,2387.7573,9037.1435,1.3016,47.5037,522.2156,2390.1259,8134.6578,8.4083,0.03,391.6783,2388.6588,99.8715,38.811,23.2706
